Title,Author,Average Rating,Rating,Year Published,Edition
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Science Fiction Century,David G. Hartwell,3.97,160,1997,4
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Six Walks in the Fictional Woods,Umberto Eco,4.15,"3,038",1994,68
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
The Year's Best Science Fiction: Thirty-First Annual Collection,Gardner Dozois,3.94,440,2014,10
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
House of Skin,Jonathan Janz,3.75,466,2012,2
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Science Fiction Century,David G. Hartwell,3.97,160,1997,4
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Six Walks in the Fictional Woods,Umberto Eco,4.15,"3,038",1994,68
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
The Year's Best Science Fiction: Thirty-First Annual Collection,Gardner Dozois,3.94,440,2014,10
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
House of Skin,Jonathan Janz,3.75,466,2012,2
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
"Sapphire Skies: A thrilling love story from the bestselling historical fiction author of THE MYSTERY WOMAN, for readers of Mandy Robotham, Fiona McIntosh and Kirsty Manning",Belinda Alexandra,4.22,"2,306",2014,23
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
The Body Thesaurus: A Fiction Writer's Sourcebook of Words and Phrases to Describe Characters,Dahlia Evans,4.12,76,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
The Science Fiction Century,David G. Hartwell,3.97,160,1997,4
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Six Walks in the Fictional Woods,Umberto Eco,4.15,"3,038",1994,68
The Year's Best Science Fiction: Thirty-First Annual Collection,Gardner Dozois,3.94,440,2014,10
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
House of Skin,Jonathan Janz,3.75,466,2012,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
The Science Fiction Century,David G. Hartwell,3.97,160,1997,4
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Six Walks in the Fictional Woods,Umberto Eco,4.15,"3,038",1994,68
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Year's Best Science Fiction: Thirty-First Annual Collection,Gardner Dozois,3.94,440,2014,10
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
House of Skin,Jonathan Janz,3.75,466,2012,2
"Sapphire Skies: A thrilling love story from the bestselling historical fiction author of THE MYSTERY WOMAN, for readers of Mandy Robotham, Fiona McIntosh and Kirsty Manning",Belinda Alexandra,4.22,"2,306",2014,23
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
The Body Thesaurus: A Fiction Writer's Sourcebook of Words and Phrases to Describe Characters,Dahlia Evans,4.12,76,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
The Science Fiction Century,David G. Hartwell,3.97,160,1997,4
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Six Walks in the Fictional Woods,Umberto Eco,4.15,"3,038",1994,68
The Year's Best Science Fiction: Thirty-First Annual Collection,Gardner Dozois,3.94,440,2014,10
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
House of Skin,Jonathan Janz,3.75,466,2012,2
"Sapphire Skies: A thrilling love story from the bestselling historical fiction author of THE MYSTERY WOMAN, for readers of Mandy Robotham, Fiona McIntosh and Kirsty Manning",Belinda Alexandra,4.22,"2,306",2014,23
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
The Body Thesaurus: A Fiction Writer's Sourcebook of Words and Phrases to Describe Characters,Dahlia Evans,4.12,76,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
"Sapphire Skies: A thrilling love story from the bestselling historical fiction author of THE MYSTERY WOMAN, for readers of Mandy Robotham, Fiona McIntosh and Kirsty Manning",Belinda Alexandra,4.22,"2,306",2014,23
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
The Body Thesaurus: A Fiction Writer's Sourcebook of Words and Phrases to Describe Characters,Dahlia Evans,4.12,76,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
"Sapphire Skies: A thrilling love story from the bestselling historical fiction author of THE MYSTERY WOMAN, for readers of Mandy Robotham, Fiona McIntosh and Kirsty Manning",Belinda Alexandra,4.22,"2,306",2014,23
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
The Body Thesaurus: A Fiction Writer's Sourcebook of Words and Phrases to Describe Characters,Dahlia Evans,4.12,76,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
"Sapphire Skies: A thrilling love story from the bestselling historical fiction author of THE MYSTERY WOMAN, for readers of Mandy Robotham, Fiona McIntosh and Kirsty Manning",Belinda Alexandra,4.22,"2,306",2014,23
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
The Body Thesaurus: A Fiction Writer's Sourcebook of Words and Phrases to Describe Characters,Dahlia Evans,4.12,76,0,2
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Science Fiction Century,David G. Hartwell,3.97,160,1997,4
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Six Walks in the Fictional Woods,Umberto Eco,4.15,"3,038",1994,68
The Year's Best Science Fiction: Thirty-First Annual Collection,Gardner Dozois,3.94,440,2014,10
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
House of Skin,Jonathan Janz,3.75,466,2012,2
Wandering Stars: An Anthology of Jewish Fantasy and Science Fiction,Jack Dann,3.72,222,1974,15
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Science Fiction Century,David G. Hartwell,3.97,160,1997,4
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Six Walks in the Fictional Woods,Umberto Eco,4.15,"3,038",1994,68
The Year's Best Science Fiction: Thirty-First Annual Collection,Gardner Dozois,3.94,440,2014,10
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
House of Skin,Jonathan Janz,3.75,466,2012,2
Wandering Stars: An Anthology of Jewish Fantasy and Science Fiction,Jack Dann,3.72,222,1974,15
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
50 Mistakes of the Fledgling Fiction Writer,Ian M. Pindar,4.17,12,2014,3
Six Walks in the Fictional Woods,Umberto Eco,4.15,"3,038",1994,68
The Science Fiction Century,David G. Hartwell,3.97,160,1997,4
The Year's Best Science Fiction: Thirty-First Annual Collection,Gardner Dozois,3.94,440,2014,10
House of Skin,Jonathan Janz,3.75,466,2012,2
Wandering Stars: An Anthology of Jewish Fantasy and Science Fiction,Jack Dann,3.72,222,1974,15
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
I'm Just Tryin' To Be Somebody's Wife: A Love Story: A Standalone Women's Fiction,Cole Hart,4.45,174,0,3
The Stories: Five Years of Original Fiction on Tor.com,Gregory Benford,3.80,66,2013,1
"Sapphire Skies: A thrilling love story from the bestselling historical fiction author of THE MYSTERY WOMAN, for readers of Mandy Robotham, Fiona McIntosh and Kirsty Manning",Belinda Alexandra,4.22,"2,306",2014,23
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Body Thesaurus: A Fiction Writer's Sourcebook of Words and Phrases to Describe Characters,Dahlia Evans,4.12,76,0,2
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
Winterfest: A Paranormal Women's Fiction Novel (Midlife Trials Book 2),Donna Berdel,4.38,308,0,3
Elements: A Collection of Speculative Fiction,Suzanne Church,3.92,36,2014,4
Imperium: A Fiction of the South Seas,Christian Kracht,3.69,"3,640",2012,45
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Shub-Niggurath Cycle: Tales of the Black Goat with a Thousand Young,Robert M. Price,3.97,231,1994,2
"A Texas Virgin and a Savage Millionaire 3 : The Finale, An Urban Fiction Hood Romance",Vee Bryant,4.70,181,0,1
The Short Fiction of Flann O'Brien,Flann O'Brien,3.90,194,2013,3
The Stories: Five Years of Original Fiction on Tor.com,Gregory Benford,3.80,66,2013,1
"Sapphire Skies: A thrilling love story from the bestselling historical fiction author of THE MYSTERY WOMAN, for readers of Mandy Robotham, Fiona McIntosh and Kirsty Manning",Belinda Alexandra,4.22,"2,306",2014,23
The Book of Ramallah: A City in Short Fiction,Maya Abu al-Hayat,3.85,100,0,2
The Mark on the Wall and Other Short Fiction,Virginia Woolf,3.61,710,2009,12
Ultimatum or Dinners with Saul: Contemporary Jewish immigrants political philosophical fiction novel,Michael Veletsky,4.42,45,0,5
The Body Thesaurus: A Fiction Writer's Sourcebook of Words and Phrases to Describe Characters,Dahlia Evans,4.12,76,0,2
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard,3.75,348,1989,11
