Title,Author,Average Rating,Rating,Year Published,Edition
Well-Read Women: Portraits of Fiction's Most Beloved Heroines,Samantha Hahn,4.21,"1,089",2013,4
Safe as Houses,Marie-Helene Bertino,4.17,517,2012,3
Low Key Fallin' For A Savage 2: African American Urban Fiction,J. Dominique,4.67,813,0,2
From Where You Dream: The Process of Writing Fiction,Robert Olen Butler,3.94,"1,465",2005,8
The Spirit of Science Fiction,Roberto Bolaño,3.46,"2,698",2016,41
The Writing of Fiction,Edith Wharton,3.84,384,1925,31
Murder in the Dark: Short Fictions and Prose Poems,Margaret Atwood,3.67,"1,889",1983,31
To Dream Of Shadows : A Gripping Holocaust Novel Inspired by a Heartbreaking True Story (World War II Historical Fiction Book 1),Steve N. Lee,4.43,850,2023,5
The Best American Science Fiction and Fantasy 2015,Joe Hill,3.90,"1,250",2015,4
Gateways to Abomination: Collected Short Fiction,Matthew M. Bartlett,3.92,"1,035",2014,6
Witch in Retrograde: Midlife Spirit Guides Paranormal Women's Fiction,Wendy Wang,4.52,"1,429",0,2
Witch in Retrograde: Midlife Spirit Guides Paranormal Women's Fiction,Wendy Wang,4.52,"1,429",0,2
The Object: Hard Science Fiction,Joshua T. Calvert,4.27,"1,599",0,2
The Polish Nurse: A WW2 Historical Fiction Novel (World War II Brave Women Fiction Book 1),Leah Moyes,4.50,"1,327",0,3
Archaeologies of the Future: The Desire Called Utopia and Other Science Fictions,Fredric Jameson,4.04,541,2005,21
Ring Around the Sun,Clifford D. Simak,3.80,"1,947",1952,53
Human Body Theater: A Non-Fiction Revue,Maris Wicks,4.41,"1,815",2015,13
Fictions,Jorge Luis Borges,4.42,"67,872",1944,304
"Fact, Fiction, and Folklore in Harry Potter's World: An Unofficial Guide",George Beahm,4.21,988,2005,5
The Dark Room,R.K. Narayan,3.68,"1,452",1938,26
The Future is Japanese: Science Fiction Futures and Brand New Fantasies from and about Japan,Masumi Washington,3.81,"1,026",2012,4
Thrill Me: Essays on Fiction,Benjamin Percy,4.32,"1,206",2016,4
Collected Fiction,Hannu Rajaniemi,3.87,934,2015,12
"How to Write a Novel Using the Snowflake Method (Advanced Fiction Writing, #1)",Randy Ingermanson,4.24,"2,681",2014,8
What Makes This Book So Great: Re-Reading the Classics of Science Fiction & Fantasy,Jo Walton,3.88,"1,066",2014,14
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,4.05,"1,707",1990,38
The Half-White Album (Lynn and Lynda Miller Southwest Fiction Series),Cynthia J. Sylvester,4.05,19,0,5
Lap Baby: Emotional Women's Fiction,Amy Q. Barker,4.53,90,0,4
Afterglow: Climate Fiction for Future Ancestors,Grist,4.01,246,0,2
Search and Destroy: A World War 3 Techno-Thriller Action Event (Nick Ryan's World War 3 Military Fiction Technothrillers),Nick Ryan,4.40,"1,698",0,2
Writing Great Fiction: Storytelling Tips and Techniques,James Hynes,4.17,"1,484",2014,5
The Awakening and Selected Short Fiction,Kate Chopin,3.92,"1,848",0,11
Writing Great Fiction: Storytelling Tips and Techniques,James Hynes,4.17,"1,484",2014,5
Mundo Cruel: Stories,Luis Negrón,3.98,"1,072",2010,17
Future Visions: Original Science Fiction Inspired by Microsoft,Jennifer Henshaw,3.61,"1,134",2015,3
Conflict and Suspense,James Scott Bell,4.26,882,2011,10
Things Get Ugly: The Best Crime Fiction of Joe R. Lansdale,Joe R. Lansdale,4.41,139,0,4
"Bad Mothers, Bad Daughters",Maya Sonenberg,3.78,9,0,3
Dialogue: Techniques and Exercises for Crafting Effective Dialogue,Gloria Kempton,3.96,"1,083",2004,15
The Plot Thickens: 8 Ways to Bring Fiction to Life,Noah Lukeman,3.84,"1,108",2002,19
"The Art of Character: Creating Memorable Characters for Fiction, Film, and TV",David  Corbett,4.27,596,2013,11
Beyond Binary: Genderqueer and Sexually Fluid Speculative Fiction,Lee Mandelo,3.43,348,2012,3
Living by Fiction,Annie Dillard,3.96,"1,003",1983,10
"Castles, Customs, and Kings: True Tales by English Historical Fiction Authors (Castles, Customs, and Kings #1)",Debra  Brown,3.91,248,2013,6
The Sense of an Ending: Studies in the Theory of Fiction,Frank Kermode,3.94,750,1967,23
